Question 3 Part a
Recurrent Layer

Training Loss: 1.54, Validation Loss: 1.54, Training Accuracy: 34.33, Validation Accuracy: 32.33 [Epoch: 1 of 50, ETA: 9 minute(s)]
Training Loss: 1.84, Validation Loss: 1.78, Training Accuracy: 23.78, Validation Accuracy: 25.00 [Epoch: 2 of 50, ETA: 9 minute(s)]
Training Loss: 1.43, Validation Loss: 1.43, Training Accuracy: 40.41, Validation Accuracy: 39.67 [Epoch: 3 of 50, ETA: 10 minute(s)]
Training Loss: 1.41, Validation Loss: 1.43, Training Accuracy: 39.04, Validation Accuracy: 39.00 [Epoch: 4 of 50, ETA: 10 minute(s)]
Training Loss: 1.87, Validation Loss: 1.88, Training Accuracy: 20.30, Validation Accuracy: 18.00 [Epoch: 5 of 50, ETA: 9 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.56, Validation Accuracy: 23.33 [Epoch: 6 of 50, ETA: 9 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 25.07, Validation Accuracy: 24.67 [Epoch: 7 of 50, ETA: 9 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.59, Validation Accuracy: 23.33 [Epoch: 8 of 50, ETA: 9 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.56, Validation Accuracy: 23.33 [Epoch: 9 of 50, ETA: 9 minute(s)]
Training Loss: 1.70, Validation Loss: 1.71, Training Accuracy: 25.11, Validation Accuracy: 24.67 [Epoch: 10 of 50, ETA: 8 minute(s)]
Training Loss: 1.68, Validation Loss: 1.69, Training Accuracy: 37.15, Validation Accuracy: 37.67 [Epoch: 11 of 50, ETA: 8 minute(s)]
Training Loss: 1.59, Validation Loss: 1.60, Training Accuracy: 30.59, Validation Accuracy: 28.33 [Epoch: 12 of 50, ETA: 8 minute(s)]
Training Loss: 1.55, Validation Loss: 1.53, Training Accuracy: 37.33, Validation Accuracy: 36.67 [Epoch: 13 of 50, ETA: 8 minute(s)]
Training Loss: 1.45, Validation Loss: 1.43, Training Accuracy: 37.96, Validation Accuracy: 37.67 [Epoch: 14 of 50, ETA: 7 minute(s)]
Training Loss: 1.52, Validation Loss: 1.52, Training Accuracy: 40.59, Validation Accuracy: 40.67 [Epoch: 15 of 50, ETA: 6 minute(s)]
Training Loss: 1.45, Validation Loss: 1.45, Training Accuracy: 39.81, Validation Accuracy: 38.67 [Epoch: 16 of 50, ETA: 6 minute(s)]
Training Loss: 1.96, Validation Loss: 1.98, Training Accuracy: 21.89, Validation Accuracy: 21.00 [Epoch: 17 of 50, ETA: 6 minute(s)]
Training Loss: 1.72, Validation Loss: 1.70, Training Accuracy: 24.37, Validation Accuracy: 24.67 [Epoch: 18 of 50, ETA: 6 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.41, Validation Accuracy: 24.67 [Epoch: 19 of 50, ETA: 5 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.26, Validation Accuracy: 23.33 [Epoch: 20 of 50, ETA: 5 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.26, Validation Accuracy: 23.33 [Epoch: 21 of 50, ETA: 5 minute(s)]
